epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5522,1.5474,3.04969,3.75223,1.35288,0,0.00129,0.16409,0.00083,0.0003,0.00175,0.23142,0.0019,0.00048,1.30899,2.19433,3.63753,1.26374,0,8.335e-05,8.335e-05,8.335e-05
2,16.5545,1.13806,2.09613,3.27632,1.10547,0,0.00734,0.85062,0.26639,0.1968,0.00765,0.90325,0.26804,0.20701,0.83617,1.25404,3.23267,0.91906,0,0.000181555,0.000181555,0.000181555
3,18.8066,0.91841,1.37325,1.79198,0.94095,0,0.0083,0.98529,0.73193,0.57322,0.0083,0.98529,0.73685,0.58064,0.72069,1.09374,2.82639,0.84112,0,0.000277779,0.000277779,0.000277779
4,20.6065,0.86788,1.32657,1.3217,0.91964,0,0.00838,0.98529,0.67721,0.47641,0.00838,0.98529,0.7129,0.54373,0.70763,1.09817,2.91952,0.86582,0,0.000372023,0.000372023,0.000372023
5,22.2679,0.8384,1.30241,1.15164,0.92843,0,0.00828,0.98529,0.34362,0.2309,0.00828,0.98529,0.35597,0.2416,0.692,1.02813,3.0652,0.87241,0,0.000464286,0.000464286,0.000464286
6,23.9304,0.74977,1.17155,1.01266,0.91685,0,0.00789,0.93266,0.24532,0.19884,0.00805,0.95898,0.24429,0.19155,0.70892,1.15598,3.05764,0.89007,0,0.000554569,0.000554569,0.000554569
7,31.8468,0.74002,1.1549,0.95411,0.90428,0,0.00694,0.82121,0.25387,0.20649,0.00725,0.85062,0.27085,0.1948,0.71441,1.24583,3.00903,0.89636,0,0.000642872,0.000642872,0.000642872
8,35.3081,0.78844,1.15011,0.92572,0.91577,0,0.00663,0.7918,0.46773,0.38772,0.00694,0.82121,0.46846,0.35807,0.67977,1.229,2.93386,0.89911,0,0.000729194,0.000729194,0.000729194
9,36.9858,0.77408,1.11934,0.92504,0.91868,0,0.00824,0.98529,0.75452,0.64984,0.00824,0.98529,0.75452,0.61176,0.65323,1.11111,2.80732,0.87416,0,0.000813536,0.000813536,0.000813536
10,38.991,0.7418,1.09311,0.86349,0.89342,0,0.0083,0.98529,0.87694,0.7266,0.00814,0.97059,0.87652,0.68592,0.66858,1.14727,2.59628,0.87672,0,0.000895897,0.000895897,0.000895897
